LocalTime, GPSTime, ESSID, BSSID, Power, Security, Latitude, Longitude, Latitude Error, Longitude Error, Type
2024-01-08 12:08:21,1900-01-00 00:00:00,,70:3A:0E:5E:00:E1,-74, ,0.000000,0.000000,0.000,0.000,AP
2024-01-08 12:08:21,1900-01-00 00:00:00,,EE:0B:C8:CA:81:8A,-80,,0.000000,0.000000,0.000,0.000,Client
2024-01-08 12:08:21,1900-01-00 00:00:00,YRDSB-S,70:3A:0E:5E:00:E1,-73, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-08 12:08:21,1900-01-00 00:00:00,YRDSB-S,70:3A:0E:5E:00:E1,-73, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-08 12:08:22,1900-01-00 00:00:00,YRDSB-S,70:3A:0E:5E:00:E1,-73, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-08 12:08:22,1900-01-00 00:00:00,YRDSB-S,70:3A:0E:5E:00:E1,-73, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-08 12:08:22,1900-01-00 00:00:00,YRDSB-S,70:3A:0E:5E:00:E1,-73, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-08 12:08:22,1900-01-00 00:00:00,YRDSB-S,70:3A:0E:5E:00:E1,-72, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-08 12:08:22,1900-01-00 00:00:00,YRDSB-S,70:3A:0E:5E:00:E1,-72, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-08 12:08:22,1900-01-00 00:00:00,,EE:0B:C8:CA:81:8A,-79,,0.000000,0.000000,0.000,0.000,Client
2024-01-08 12:08:22,1900-01-00 00:00:00,,EE:0B:C8:CA:81:8A,-79,,0.000000,0.000000,0.000,0.000,Client
2024-01-08 12:08:22,1900-01-00 00:00:00,,EE:0B:C8:CA:81:8A,-77,,0.000000,0.000000,0.000,0.000,Client
2024-01-08 12:08:22,1900-01-00 00:00:00,YRDSB-S,70:3A:0E:5E:00:E1,-70, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-08 12:08:22,1900-01-00 00:00:00,YRDSB-S,70:3A:0E:5E:00:E1,-70, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-08 12:08:22,1900-01-00 00:00:00,YRDSB-S,70:3A:0E:5E:00:E1,-70, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-08 12:08:22,1900-01-00 00:00:00,YRDSB-S,70:3A:0E:5E:00:E1,-70, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-08 12:08:22,1900-01-00 00:00:00,,EE:0B:C8:CA:81:8A,-76,,0.000000,0.000000,0.000,0.000,Client
2024-01-08 12:08:22,1900-01-00 00:00:00,,EE:0B:C8:CA:81:8A,-76,,0.000000,0.000000,0.000,0.000,Client
2024-01-08 12:08:22,1900-01-00 00:00:00,YRDSB-S,70:3A:0E:5E:00:E1,-70, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-08 12:08:22,1900-01-00 00:00:00,YRDSB-S,70:3A:0E:5E:00:E1,-70, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-08 12:08:22,1900-01-00 00:00:00,YRDSB-S,70:3A:0E:5E:00:E1,-69, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-08 12:08:22,1900-01-00 00:00:00,YRDSB-S,70:3A:0E:5E:00:E1,-68, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-08 12:08:22,1900-01-00 00:00:00,YRDSB-S,70:3A:0E:5E:00:E1,-69, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-08 12:08:22,1900-01-00 00:00:00,YRDSB-S,70:3A:0E:5E:00:E1,-69, WPA2 ,0.000000,0.000000,0.000,0.000,AP
